timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
92132408,7E:8A:AE:D6:C8:CD,28880,-59.53,-67,-76,0 0 -17 1 -19 3 -18 3 -18 4 -16 5 -16 6 -14 6 -12 6 -12 4 -11 3 -10 2 -10 1 -11 0 -12 -1 -13 -1 -14 -1 -15 -1 -15 0 -15 1 -15 1 -14 2 -13 2 -12 2 -10 1 -10 0 -8 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 12 -6 12 -6 11 -6 10 -6 9 -7 7 -9 6 -10 5 -12 4 -13 4 -15 4 -16 4 -17 5 -17 6 -17 7 -16 8 -15 9 -14 9 -12 9 -11 8 -10 6 -11 4 -10 3 -11 1 -13 1 -15 1,0 0 8 2 8 -1 6 0 7 1 7 3 5 4 5 4 8 4 11 3 11 4 11 2 13 1 12 -2 11 -1 10 -4 10 -5 9 -5 8 -6 7 -6 6 -5 6 -3 5 -1 2 0 5 2 6 2 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 -4 21 -3 20 -4 21 -1 20 -2 19 -1 19 1 18 1 17 2 16 4 16 2 12 5 14 8 14 6 13 7 13 6 14 7 15 6 14 6 15 7 14 6 14 4 12 3 14 3 13 1 13 0
92173427,7E:8A:AE:D6:C8:CD,28880,12.39,-67,-76,0 0 -9 -14 -12 -14 -12 -14 -12 -12 -12 -11 -12 -10 -11 -9 -10 -8 -10 -7 -8 -7 -7 -8 -6 -8 -6 -8 -6 -10 -6 -10 -6 -12 -7 -12 -7 -12 -8 -12 -8 -12 -8 -10 -8 -11 -8 -9 -6 -8 -5 -7 -3 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 1 -13 1 -13 1 -12 1 -11 -1 -10 -2 -9 -4 -9 -6 -9 -8 -10 -8 -11 -10 -12 -11 -13 -11 -14 -10 -14 -10 -15 -9 -15 -7 -14 -7 -13 -5 -12 -6 -11 -6 -9 -7 -9 -7 -8 -9 -8 -11 -8 -12,0 0 -3 -9 -3 -9 -3 -9 -2 -8 -1 -7 0 -6 0 -8 0 -9 -1 -11 -1 -10 -2 -13 -5 -11 -5 -13 -8 -11 -9 -10 -7 -10 -8 -7 -9 -6 -8 -6 -9 -6 -6 -3 -4 -6 -2 -6 1 -5 -1 -6 0 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -18 -12 -18 -12 -21 -11 -18 -11 -18 -8 -18 -7 -19 -5 -18 -5 -18 -2 -17 -2 -15 1 -15 -1 -14 2 -14 0 -13 0 -16 1 -15 0 -18 -2 -16 -2 -17 -2 -16 -3 -17 -6 -15 -3 -11 -6 -13 -5 -11
92217926,7E:8A:AE:D6:C8:CD,28880,-24.26,-67,-76,0 0 -3 14 -3 17 -2 17 -1 16 0 16 1 16 2 13 1 12 1 11 1 10 -1 9 -2 9 -3 9 -4 11 -4 10 -4 12 -4 12 -4 13 -3 13 -2 13 -2 13 -2 11 -1 10 -2 9 -3 7 -3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9 9 8 8 8 8 7 7 5 8 3 9 1 10 0 11 -1 12 -1 14 -1 15 0 16 1 16 2 17 3 16 4 16 4 14 5 12 4 12 3 11 1 11 0 10 -1 10 -3 12 -5 13,0 0 -4 -9 -5 -9 -3 -8 -2 -7 -3 -7 -2 -8 -1 -9 -1 -10 -2 -10 -2 -11 -5 -12 -6 -12 -8 -11 -8 -11 -9 -9 -10 -8 -10 -6 -9 -6 -8 -4 -8 -4 -5 -4 -5 -5 -2 -4 -1 -6 -2 -7 0 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -16 -14 -17 -13 -18 -13 -17 -11 -16 -10 -17 -10 -17 -9 -16 -7 -15 -6 -17 -5 -16 -3 -16 -2 -16 -1 -15 -1 -15 -1 -16 -1 -16 -2 -16 -2 -16 -3 -16 -5 -16 -5 -16 -5 -14 -6 -13 -6 -12 -6 -12
92255202,7E:8A:AE:D6:C8:CD,28880,-44.03,-67,-76,0 0 -3 14 -2 18 -1 18 0 17 1 16 2 15 2 13 2 12 1 11 1 10 -1 9 -1 9 -3 9 -3 10 -4 11 -3 11 -3 13 -4 13 -2 13 -2 13 -1 12 -2 12 -1 10 -1 9 -2 7 -3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 8 10 8 9 7 8 7 7 8 5 7 4 9 2 10 1 11 0 12 0 14 0 15 1 16 2 16 4 16 5 16 5 14 6 14 5 12 4 11 4 11 2 10 1 10 -1 8 -3 12 -3 13,0 0 7 -5 6 -8 6 -5 6 -5 6 -3 6 -3 8 -2 8 -4 10 -4 10 -6 9 -6 9 -8 8 -10 8 -11 5 -12 4 -11 4 -11 2 -10 1 -9 1 -8 2 -6 2 -5 4 -4 4 -3 7 -2 6 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -18 12 -18 12 -18 12 -17 13 -17 11 -15 14 -13 12 -12 13 -11 12 -10 14 -9 14 -6 14 -7 13 -5 13 -5 14 -5 13 -6 14 -7 15 -7 16 -7 15 -9 13 -9 11 -8 11 -8 10 -9 9 -10
92292416,7E:8A:AE:D6:C8:CD,28880,-4.57,-72,-78,0 0 15 6 18 6 20 5 19 4 19 3 17 2 15 1 12 1 9 1 8 1 6 3 3 5 2 7 1 10 1 11 1 13 3 14 3 14 4 15 4 15 3 13 3 12 2 10 2 9 0 6 -1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -9 -11 -9 -9 -7 -8 -7 -6 -5 -3 -6 0 -5 2 -6 6 -7 8 -7 11 -10 12 -12 12 -14 12 -13 12 -15 11 -16 10 -16 8 -15 6 -13 5 -11 5 -9 6 -4 6 -2 7 2 10 3 12 6,0 0 0 -6 2 -5 1 -5 5 -1 1 -2 2 1 5 0 7 1 10 1 11 -3 13 -3 15 -5 10 -7 12 -12 9 -12 8 -11 9 -14 5 -11 2 -12 3 -11 2 -7 5 -7 5 -6 5 -1 8 -1 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -21 12 -20 13 -21 9 -18 10 -18 9 -18 10 -15 9 -15 6 -12 11 -9 7 -7 12 -6 10 -3 14 -3 11 -1 13 -1 14 -3 16 -4 15 -3 17 -4 16 -6 14 -7 13 -7 9 -6 7 -9 10 -9
92330124,7E:8A:AE:D6:C8:CD,28880,-24.53,-72,-78,0 0 -16 6 -17 8 -17 10 -16 11 -14 11 -14 11 -12 8 -10 8 -9 5 -8 4 -7 2 -8 -1 -8 -3 -10 -6 -9 -6 -11 -8 -13 -8 -13 -7 -13 -8 -14 -7 -13 -7 -12 -6 -10 -5 -8 -5 -7 -4 -4 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -1 11 -2 10 -1 9 -1 6 0 5 1 3 3 2 5 -1 8 -1 10 -2 12 -2 15 -2 16 0 17 1 18 4 17 4 16 3 15 4 13 3 11 2 9 -1 7 -3 5 -7 3 -11 4 -14 5,0 0 5 4 7 2 5 3 2 1 0 1 -1 2 -2 4 -4 4 -1 8 2 11 1 11 4 11 5 13 8 11 10 8 11 9 13 6 14 5 12 5 11 4 9 3 8 3 4 5 3 3 1 4 -3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 3 18 4 20 6 18 6 17 7 16 8 15 8 15 4 15 7 13 8 10 13 11 8 5 10 3 9 5 11 4 11 2 13 3 14 4 12 4 15 4 15 7 11 10 13 6 13 8 11 6 9
92369994,7E:8A:AE:D6:C8:CD,28880,-40.19,-73,-80,0 0 -14 9 -14 13 -14 13 -14 15 -12 14 -11 14 -9 11 -8 10 -7 8 -6 5 -7 3 -8 1 -9 -2 -10 -3 -11 -4 -12 -4 -14 -4 -15 -4 -15 -3 -15 -2 -15 -3 -13 -3 -11 -3 -9 -3 -7 -3 -5 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -3 11 -3 9 -3 8 -2 6 -1 4 0 3 3 2 5 2 8 1 10 0 13 1 15 2 16 4 17 5 16 6 16 7 15 7 14 6 10 5 10 3 7 0 6 -2 6 -6 6 -9 7 -12 8,0 0 4 -2 3 0 2 1 1 0 1 2 0 8 2 5 3 8 9 7 7 5 9 3 11 0 11 -3 13 -5 12 -5 13 -7 12 -11 12 -12 6 -9 8 -10 4 -7 6 -4 2 -3 3 0 5 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -22 15 -20 16 -22 17 -20 12 -16 13 -16 15 -14 12 -12 15 -8 13 -8 14 -5 15 -1 15 1 14 0 16 3 14 4 16 4 20 5 17 4 17 0 19 2 15 -4 16 -1 12 0 11 -2 6 -2
92409201,7E:8A:AE:D6:C8:CD,28880,7.25,-73,-80,0 0 -16 -3 -20 -2 -20 -2 -20 0 -19 1 -18 1 -15 2 -12 2 -11 1 -9 -1 -8 -2 -7 -4 -6 -6 -7 -9 -6 -10 -7 -12 -9 -13 -10 -13 -10 -12 -11 -13 -9 -11 -9 -11 -7 -8 -6 -8 -4 -7 -2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 9 7 7 7 8 5 7 3 5 2 5 -2 5 -4 5 -7 6 -9 7 -12 9 -13 10 -14 12 -12 13 -12 14 -10 14 -8 15 -8 13 -7 11 -5 10 -5 7 -5 5 -7 1 -8 0 -12 -3 -13 -4,0 0 -1 0 -3 2 -1 -1 -1 -4 -1 -5 -1 -6 -3 -7 -4 -8 -7 -7 -11 -6 -10 -6 -14 -4 -12 -1 -13 1 -14 4 -14 5 -13 8 -11 7 -9 7 -8 6 -6 5 -4 0 -4 0 -4 -3 -4 -5 -5 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 21 -12 19 -14 19 -13 18 -12 16 -12 13 -11 12 -14 10 -13 7 -13 4 -13 1 -14 -2 -12 -2 -12 -2 -14 -4 -17 -5 -17 -4 -18 -4 -17 -3 -18 -3 -18 0 -16 0 -13 1 -14 2 -11 1 -8 0
92450134,7E:8A:AE:D6:C8:CD,28880,9.64,-72,-80,0 0 -16 -6 -19 -4 -19 -5 -20 -3 -18 -3 -17 -2 -15 -1 -12 0 -12 -1 -9 -2 -7 -3 -6 -6 -7 -7 -5 -10 -6 -11 -6 -12 -7 -13 -8 -14 -9 -13 -9 -13 -9 -12 -8 -10 -7 -9 -5 -7 -4 -8 -2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 11 4 11 3 9 3 8 1 7 0 5 -3 4 -5 4 -9 4 -11 5 -12 6 -14 7 -16 9 -14 10 -14 11 -14 11 -13 12 -11 11 -9 10 -8 8 -7 6 -6 3 -7 1 -10 -2 -11 -3 -13 -6,0 0 -7 2 -2 -1 -2 -1 0 -4 2 -7 0 -6 0 -7 -2 -8 -2 -8 -5 -10 -8 -9 -9 -8 -12 -6 -12 -4 -13 -2 -13 0 -15 2 -13 4 -11 2 -9 3 -7 1 -6 -1 -5 -2 -3 -4 -1 -8 -1 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 16 -17 16 -17 14 -17 13 -17 11 -15 10 -15 8 -15 5 -15 3 -14 0 -12 -3 -13 -3 -13 -8 -12 -8 -13 -8 -14 -9 -14 -9 -15 -10 -15 -8 -16 -8 -16 -6 -14 -4 -15 -4 -14 -4 -11 -1 -8 0
92956322,7E:8A:AE:D6:C8:CD,29296,-19.93,-71,-78,0 0 -18 -7 -20 -7 -21 -5 -20 -4 -19 -3 -18 -1 -16 -1 -13 -1 -12 -1 -11 -2 -9 -3 -8 -5 -8 -7 -8 -10 -9 -10 -11 -11 -12 -12 -13 -11 -13 -11 -14 -11 -13 -9 -11 -8 -10 -8 -8 -7 -6 -6 -4 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 12 -5 11 -4 10 -5 9 -4 7 -6 6 -8 4 -9 2 -11 1 -13 1 -15 0 -17 1 -18 1 -18 3 -18 5 -18 6 -16 6 -15 7 -13 7 -12 5 -10 3 -10 1 -10 -1 -11 -3 -13 -5 -14 -7,0 0 6 1 4 3 6 3 5 5 5 5 6 6 5 6 7 4 9 5 11 2 10 0 11 -2 10 -3 9 -5 8 -6 7 -7 3 -7 2 -7 3 -5 1 -5 0 -3 0 -1 2 0 3 1 3 2 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 -12 21 -10 20 -9 18 -9 19 -8 18 -7 18 -5 17 -2 17 -1 15 0 14 3 15 4 14 4 15 5 15 6 17 6 17 4 17 4 16 4 17 3 16 2 16 0 13 -1 14 1 10 -1 10 0
93896654,7E:8A:AE:D6:C8:CD,29152,-4.28,-72,-73,0 0 11 -12 10 -16 8 -16 9 -17 6 -15 5 -16 3 -13 4 -11 4 -10 5 -7 6 -6 8 -6 9 -4 12 -5 13 -6 15 -5 14 -7 14 -8 14 -8 13 -9 12 -8 12 -8 9 -6 9 -4 8 -2 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -6 -9 -5 -8 -6 -6 -6 -5 -6 -3 -7 0 -8 0 -9 2 -11 2 -13 4 -16 3 -16 2 -17 2 -16 0 -17 -3 -16 -2 -15 -3 -14 -4 -12 -1 -10 0 -9 2 -8 5 -7 7 -6 9 -9 12 -11,0 0 5 -15 4 -16 3 -15 2 -16 1 -14 -1 -16 -2 -12 -2 -11 -1 -10 -1 -10 0 -8 0 -8 1 -6 2 -7 1 -8 2 -9 3 -9 2 -9 1 -10 0 -9 1 -10 -1 -9 1 -8 0 -7 1 -7 0 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -18 -11 -18 -10 -18 -8 -17 -7 -15 -3 -15 -1 -15 0 -14 4 -15 3 -17 5 -20 7 -20 5 -21 4 -21 2 -19 -1 -20 -2 -18 -3 -18 -2 -15 -2 -14 -2 -13 -1 -10 3 -11 3 -10 4 -11 3 -11
94029270,7E:8A:AE:D6:C8:CD,29520,7.34,-73,-73,0 0 -18 2 -19 5 -18 6 -17 7 -15 6 -14 7 -12 7 -11 5 -10 3 -10 1 -10 -1 -10 -1 -12 -3 -14 -3 -15 -4 -16 -4 -17 -4 -17 -3 -16 -2 -16 -1 -15 -1 -13 -1 -12 -2 -10 -4 -8 -4 -7 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 1 9 0 9 -1 8 -3 6 -5 5 -6 4 -9 4 -10 5 -12 6 -13 7 -14 8 -14 9 -13 9 -12 10 -10 11 -9 11 -8 11 -7 9 -7 7 -7 5 -8 3 -9 1 -10 1 -15 1 -17 1,0 0 -13 -3 -15 -2 -14 0 -14 0 -13 1 -12 2 -12 3 -11 3 -10 2 -9 2 -7 2 -7 1 -7 1 -8 0 -8 0 -8 0 -9 0 -9 0 -8 1 -9 1 -8 1 -8 0 -8 1 -7 1 -6 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 10 -16 10 -16 9 -16 8 -14 6 -14 4 -14 2 -15 -1 -16 -2 -16 -3 -17 -3 -19 -3 -19 -3 -19 -1 -18 0 -19 0 -17 3 -16 3 -14 4 -13 2 -12 2 -11 1 -10 1 -10 -1 -12 -2 -13 -3
94071288,7E:8A:AE:D6:C8:CD,29184,-90.00,-73,-73,0 0 -18 5 -18 7 -17 8 -16 8 -15 8 -13 9 -11 8 -11 6 -9 4 -10 2 -9 0 -10 -1 -12 -2 -14 -3 -15 -3 -16 -2 -17 -2 -18 -1 -17 -1 -16 0 -14 0 -13 0 -12 -1 -10 -3 -8 -4 -6 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 8 3 8 2 7 1 7 -1 6 -4 5 -5 5 -7 5 -9 6 -10 8 -11 9 -12 11 -12 12 -12 13 -9 12 -8 14 -6 12 -5 12 -4 9 -5 8 -5 6 -8 4 -10 3 -11 2 -13 2 -16 3,0 0 13 4 14 2 14 1 13 1 14 0 13 -2 11 -2 10 -3 9 -3 9 -2 8 -1 7 -1 7 -1 8 0 7 0 8 0 8 0 8 0 8 -1 8 -1 8 -2 7 -1 7 -1 6 -1 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 -9 18 -9 17 -7 16 -6 14 -4 14 -2 14 1 14 2 15 4 15 4 16 5 18 5 19 5 19 4 18 2 18 1 17 -1 16 -1 14 -3 14 -2 12 -2 11 -1 10 0 11 2 11 3 12 4
94204407,7E:8A:AE:D6:C8:CD,29200,28.89,-73,-73,0 0 -18 1 -20 2 -19 3 -19 5 -16 5 -15 6 -13 5 -11 4 -11 1 -10 -1 -10 -2 -10 -4 -12 -4 -13 -5 -14 -6 -16 -7 -16 -6 -17 -5 -17 -4 -16 -4 -14 -2 -13 -4 -11 -4 -9 -5 -6 -6 -5 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 1 9 -1 9 -2 7 -3 6 -5 5 -7 4 -10 4 -11 5 -12 6 -14 7 -15 8 -15 9 -14 10 -13 11 -11 12 -9 10 -8 11 -7 9 -8 7 -8 5 -10 1 -10 0 -12 -1 -15 -1 -19 -1,0 0 -3 -14 -5 -15 -5 -14 -6 -13 -7 -12 -8 -12 -7 -11 -6 -9 -6 -9 -5 -7 -5 -7 -4 -7 -5 -7 -4 -8 -4 -8 -4 -8 -4 -7 -3 -9 -5 -8 -4 -8 -4 -7 -5 -5 -5 -5 -4 -6 -4 -5 -2 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -13 -16 -12 -15 -12 -14 -12 -12 -12 -9 -13 -7 -13 -5 -14 -4 -15 -5 -15 -3 -17 -4 -19 -5 -19 -6 -19 -7 -18 -8 -17 -9 -16 -9 -13 -9 -12 -8 -11 -8 -10 -5 -10 -4 -10 -4 -9 -2 -12 -3 -14
94245780,7E:8A:AE:D6:C8:CD,29216,8.67,-74,-74,0 0 -16 4 -19 5 -19 6 -17 8 -14 8 -13 8 -10 7 -10 3 -9 3 -10 1 -10 -1 -11 -3 -12 -2 -14 -2 -14 -2 -17 -2 -17 -2 -16 0 -15 -1 -15 0 -15 1 -13 -2 -12 0 -9 -3 -8 -4 -7 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 8 0 9 -1 8 -2 5 -4 5 -7 5 -7 4 -11 5 -11 6 -13 6 -12 8 -13 11 -12 11 -11 11 -10 12 -9 13 -7 11 -5 8 -8 7 -7 5 -10 2 -9 3 -9 1 -14 1 -15 1,0 0 -14 -3 -16 -3 -14 -2 -14 -1 -14 1 -14 2 -12 5 -11 2 -9 2 -8 4 -9 2 -8 2 -9 1 -8 1 -9 1 -8 0 -9 1 -8 1 -8 1 -8 1 -7 1 -9 4 -7 1 -8 0 -6 1 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 10 -18 10 -18 8 -16 5 -16 5 -14 2 -15 1 -16 -1 -16 -3 -16 -4 -16 -6 -18 -6 -20 -5 -20 -3 -19 -1 -19 0 -18 3 -17 3 -14 2 -14 3 -13 2 -12 1 -12 0 -12 -1 -13 -2 -14 -3
94378779,7E:8A:AE:D6:C8:CD,29232,23.12,-74,-74,0 0 14 10 16 10 17 8 16 6 15 5 14 4 13 3 10 2 8 5 7 6 6 7 5 8 6 9 7 11 8 11 8 12 10 11 9 12 11 10 11 9 8 8 8 8 5 6 4 7 1 7 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -8 6 -8 6 -7 7 -5 7 -3 7 -1 8 0 9 2 10 3 13 3 16 5 15 5 17 3 16 2 16 0 16 -2 14 -3 13 -2 10 -1 10 1 9 1 8 4 8 6 9 7 10 9 12 11,0 0 -2 13 -1 14 0 14 2 13 3 12 3 12 3 11 3 8 4 8 2 8 2 7 1 7 1 7 2 7 1 8 2 8 2 7 2 7 2 7 4 6 3 6 4 7 1 6 2 6 1 5 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 16 10 16 9 15 7 15 5 13 4 14 2 14 -1 15 -1 15 -3 15 -4 18 -2 19 -3 19 -2 19 0 18 2 16 2 15 4 16 3 14 3 13 2 11 2 10 0 9 -2 10 -2 11 -2 11
94410034,7E:8A:AE:D6:C8:CD,29248,-90.00,-74,-74,0 0 -5 15 -4 18 -2 17 -2 16 0 15 0 14 0 12 0 10 -2 9 -3 8 -4 8 -5 8 -7 9 -7 11 -8 11 -8 12 -8 13 -7 13 -5 13 -5 13 -5 11 -5 10 -5 8 -6 6 -6 5 -7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 4 8 4 6 4 5 4 3 5 1 7 1 8 0 9 -1 11 -1 13 1 14 0 16 2 16 2 15 4 15 4 14 6 12 5 11 4 9 2 9 1 9 -1 9 -3 9 -5 11 -6 12 -6 15,0 0 12 -8 11 -10 9 -10 9 -11 8 -11 6 -11 6 -12 5 -10 5 -9 5 -8 5 -7 4 -8 4 -7 4 -8 6 -8 5 -7 5 -7 4 -8 3 -8 3 -8 4 -7 3 -7 3 -7 3 -5 2 -5 3 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -20 4 -20 4 -19 5 -16 6 -16 7 -13 8 -13 11 -12 12 -10 12 -10 14 -11 17 -12 16 -13 14 -12 13 -13 12 -15 9 -15 9 -15 7 -14 7 -13 6 -11 6 -10 7 -9 8 -7 10 -8 11 -9
94969261,7E:8A:AE:D6:C8:CD,0,-3.37,-74,-74,0 0 11 -12 11 -15 9 -15 9 -17 6 -16 6 -16 5 -14 4 -12 3 -10 6 -9 6 -9 7 -7 8 -7 10 -8 11 -8 13 -9 12 -9 12 -9 11 -10 11 -11 11 -10 10 -10 9 -8 8 -6 8 -4 8 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -8 -6 -8 -5 -8 -4 -8 -2 -7 -1 -7 1 -7 2 -8 4 -9 5 -11 5 -13 6 -15 6 -16 4 -16 3 -16 1 -16 0 -15 1 -14 0 -13 0 -11 2 -10 3 -9 5 -8 7 -8 8 -9 11 -11,0 0 6 -12 7 -13 4 -14 5 -15 3 -15 2 -14 2 -13 1 -12 0 -10 -1 -9 0 -8 0 -8 2 -8 1 -8 1 -7 3 -7 3 -8 3 -7 0 -9 1 -10 1 -7 0 -7 0 -8 0 -5 1 -5 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -19 -7 -18 -7 -18 -6 -17 -4 -15 -1 -15 1 -13 2 -15 5 -16 7 -14 8 -18 7 -18 7 -18 6 -19 6 -18 4 -19 2 -18 1 -17 0 -15 1 -14 0 -13 1 -12 2 -9 4 -10 4 -11 4 -11
95011670,7E:8A:AE:D6:C8:CD,29696,44.70,-73,-74,0 0 14 -7 15 -11 14 -12 14 -13 12 -13 12 -13 9 -11 8 -10 7 -10 8 -7 8 -6 9 -5 9 -5 12 -5 12 -4 13 -5 14 -4 13 -5 13 -6 13 -7 12 -6 11 -6 11 -4 8 -3 8 -2 6 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -11 -3 -12 -4 -11 -2 -10 -1 -9 1 -8 2 -8 4 -9 6 -10 8 -10 9 -11 11 -13 11 -13 10 -14 9 -14 8 -16 6 -15 5 -15 4 -13 5 -12 5 -10 6 -9 6 -7 8 -6 11 -7 14 -8,0 0 1 12 2 13 2 14 3 12 4 13 5 12 5 12 5 9 5 8 6 8 5 7 5 7 4 6 3 6 3 6 2 7 2 6 3 6 4 7 4 8 4 7 2 7 2 5 4 6 3 5 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 13 15 13 13 13 13 12 10 11 8 11 6 13 5 13 3 13 3 14 1 17 3 18 2 18 2 18 4 17 4 18 6 16 6 15 7 13 8 12 7 11 5 9 4 9 4 9 2 11 2 12
95144251,7E:8A:AE:D6:C8:CD,29296,19.82,-75,-73,0 0 11 14 13 14 14 11 15 10 14 9 12 7 9 6 9 7 6 7 4 7 3 9 3 10 2 12 2 14 2 15 3 16 3 17 5 16 4 15 5 15 4 14 3 13 1 10 -1 9 -3 7 -6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -8 4 -6 4 -5 4 -3 5 0 6 1 6 3 8 5 10 5 12 4 14 5 16 4 16 4 16 3 15 1 14 0 13 -1 12 -1 9 -1 7 1 7 3 5 6 5 7 6 10 8 12 10 13,0 0 -3 12 -2 13 -1 13 0 13 1 13 1 13 2 11 1 10 2 9 2 8 2 7 2 7 2 7 1 7 0 7 0 8 1 7 1 7 1 7 1 7 1 7 1 6 1 7 1 6 0 5 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 17 6 16 6 15 5 15 3 14 2 14 1 13 -1 14 -2 15 -4 15 -5 16 -5 16 -4 17 -4 17 -2 17 -1 17 1 16 1 15 1 14 1 14 1 12 1 11 0 11 0 11 -2 11 -2 12
95421622,7E:8A:AE:D6:C8:CD,29344,-25.75,-75,-72,0 0 -1 -18 -4 -20 -6 -18 -6 -17 -7 -16 -8 -15 -6 -13 -3 -11 -3 -10 -2 -10 1 -11 2 -11 3 -12 3 -13 4 -15 3 -16 3 -16 2 -16 2 -16 0 -16 1 -15 1 -14 2 -12 3 -9 4 -8 6 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 0 -10 0 -10 -1 -8 -2 -8 -4 -6 -6 -5 -7 -6 -10 -6 -11 -7 -13 -9 -15 -9 -16 -10 -15 -12 -14 -12 -12 -13 -11 -12 -10 -11 -8 -9 -8 -7 -8 -5 -8 -2 -9 -2 -10 -1 -12 0 -16 0 -18,0 0 9 8 11 8 10 7 11 6 11 6 11 4 10 3 10 3 10 3 9 1 8 1 7 1 7 2 7 2 6 2 6 2 7 2 7 2 7 1 7 2 6 2 6 2 6 2 5 1 5 1 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 2 18 3 17 3 15 3 15 5 13 4 13 7 12 8 12 9 11 11 12 12 13 12 13 13 13 11 14 10 15 9 14 7 14 7 13 6 13 5 11 5 10 5 9 4 9 6 9 7 9 8
